netannounce: binding socket to local addr
got scheduler:  return = 0 
-----------------------------------------------------------
Server listening on 5202
-----------------------------------------------------------
Server accepts new client
Time: Sun, 07 Jun 2020 15:50:34 GMT
Accepted connection from 192.168.53.10, port 38052
[ ID] Interval           Transfer     Bandwidth
[  2]  43.00-44.00  sec   109 KBytes   892 Kbits/sec                  
[  1]  44.00-45.00  sec   102 KBytes   834 Kbits/sec                  
[  2]  44.00-45.00  sec   109 KBytes   891 Kbits/sec                  
[  1]  45.00-46.00  sec  86.5 KBytes   708 Kbits/sec                  
[  2]  45.00-46.00  sec   109 KBytes   891 Kbits/sec                  
[  1]  46.00-47.00  sec  96.2 KBytes   788 Kbits/sec                  
[  2]  46.00-47.00  sec   100 KBytes   822 Kbits/sec                  
[  1]  47.00-48.00  sec   100 KBytes   822 Kbits/sec                  
[  2]  47.00-48.00  sec   109 KBytes   890 Kbits/sec                  
[  1]  48.00-49.00  sec  73.9 KBytes   606 Kbits/sec                  
[  2]  48.00-49.00  sec  62.8 KBytes   514 Kbits/sec                  
[  1]  49.00-50.00  sec   131 KBytes  1.07 Mbits/sec                  
[  2]  49.00-50.00  sec   110 KBytes   903 Kbits/sec                  
[  1]  50.00-51.00  sec  97.6 KBytes   800 Kbits/sec                  
[  2]  50.00-51.00  sec  94.8 KBytes   777 Kbits/sec                  
[  1]  51.00-52.00  sec   114 KBytes   936 Kbits/sec                  
[  2]  51.00-52.00  sec  46.0 KBytes   377 Kbits/sec                  
[  1]  52.00-53.00  sec   109 KBytes   891 Kbits/sec                  
[  2]  52.00-53.00  sec   120 KBytes   983 Kbits/sec                  
[  1]  53.00-54.00  sec   121 KBytes   995 Kbits/sec                  
[  2]  53.00-54.00  sec  97.6 KBytes   800 Kbits/sec                  
[  1]  54.00-55.00  sec  99.0 KBytes   811 Kbits/sec                  
[  2]  54.00-55.00  sec  80.9 KBytes   662 Kbits/sec                  
[  1]  55.00-56.00  sec   135 KBytes  1.11 Mbits/sec                  
